1,AFRICA,MOROCCO,MOROCCO  4
2,MIDDLE EAST,JORDAN,JORDAN   5
3,AMERICA,ARGENTINA,ARGENTINA1
4,MIDDLE EAST,EGYPT,EGYPT    6
5,AMERICA,CANADA,CANADA   2
6,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA2
7,ASIA,CHINA,CHINA    3
8,AMERICA,PERU,PERU     4
9,ASIA,INDIA,INDIA    9
10,AFRICA,ETHIOPIA,ETHIOPIA 9
11,EUROPE,UNITED KINGDOM,UNITED KI1
12,MIDDLE EAST,JORDAN,JORDAN   1
13,AMERICA,CANADA,CANADA   0
14,AMERICA,ARGENTINA,ARGENTINA3
15,EUROPE,UNITED KINGDOM,UNITED KI6
16,MIDDLE EAST,IRAN,IRAN     4
17,AMERICA,BRAZIL,BRAZIL   4
18,EUROPE,FRANCE,FRANCE   3
19,ASIA,CHINA,CHINA    5
20,EUROPE,RUSSIA,RUSSIA   5
21,ASIA,INDIA,INDIA    1
22,AMERICA,CANADA,CANADA   3
23,AMERICA,CANADA,CANADA   1
24,MIDDLE EAST,JORDAN,JORDAN   4
25,ASIA,JAPAN,JAPAN    4
26,EUROPE,RUSSIA,RUSSIA   8
27,AMERICA,CANADA,CANADA   2
28,ASIA,INDIA,INDIA    6
29,AFRICA,ALGERIA,ALGERIA  1
30,AMERICA,ARGENTINA,ARGENTINA6
31,EUROPE,UNITED KINGDOM,UNITED KI0
32,AFRICA,MOROCCO,MOROCCO  9
33,AMERICA,PERU,PERU     1
34,AFRICA,MOROCCO,MOROCCO  5
35,AMERICA,PERU,PERU     7
36,ASIA,VIETNAM,VIETNAM  7
37,ASIA,INDIA,INDIA    9
38,ASIA,JAPAN,JAPAN    7
39,AMERICA,BRAZIL,BRAZIL   6
40,AMERICA,CANADA,CANADA   0
41,MIDDLE EAST,IRAN,IRAN     3
42,AFRICA,ETHIOPIA,ETHIOPIA 0
43,EUROPE,ROMANIA,ROMANIA  6
44,AFRICA,MOZAMBIQUE,MOZAMBIQU1
45,ASIA,INDONESIA,INDONESIA2
46,EUROPE,FRANCE,FRANCE   9
47,AMERICA,BRAZIL,BRAZIL   6
48,AFRICA,ALGERIA,ALGERIA  7
49,MIDDLE EAST,IRAN,IRAN     4
50,EUROPE,FRANCE,FRANCE   4
51,ASIA,JAPAN,JAPAN    8
52,MIDDLE EAST,IRAQ,IRAQ     9
53,AFRICA,MOROCCO,MOROCCO  5
54,MIDDLE EAST,EGYPT,EGYPT    4
55,MIDDLE EAST,IRAN,IRAN     3
56,MIDDLE EAST,IRAN,IRAN     3
57,ASIA,VIETNAM,VIETNAM  9
58,MIDDLE EAST,JORDAN,JORDAN   0
59,AMERICA,ARGENTINA,ARGENTINA4
60,ASIA,JAPAN,JAPAN    3
61,AMERICA,PERU,PERU     3
62,EUROPE,GERMANY,GERMANY  0
63,ASIA,VIETNAM,VIETNAM  2
64,AMERICA,CANADA,CANADA   7
65,EUROPE,UNITED KINGDOM,UNITED KI9
66,EUROPE,RUSSIA,RUSSIA   6
67,ASIA,INDONESIA,INDONESIA3
68,ASIA,JAPAN,JAPAN    5
69,ASIA,INDONESIA,INDONESIA2
70,EUROPE,RUSSIA,RUSSIA   1
71,EUROPE,GERMANY,GERMANY  7
72,AMERICA,BRAZIL,BRAZIL   8
73,AFRICA,ALGERIA,ALGERIA  8
74,MIDDLE EAST,EGYPT,EGYPT    4
75,ASIA,CHINA,CHINA    7
76,AFRICA,ALGERIA,ALGERIA  7
77,AMERICA,PERU,PERU     4
78,ASIA,INDONESIA,INDONESIA6
79,AFRICA,MOROCCO,MOROCCO  0
80,AFRICA,ALGERIA,ALGERIA  6
81,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA7
82,ASIA,CHINA,CHINA    4
83,EUROPE,RUSSIA,RUSSIA   7
84,MIDDLE EAST,IRAQ,IRAQ     1
85,AFRICA,ETHIOPIA,ETHIOPIA 2
86,AFRICA,ALGERIA,ALGERIA  3
87,EUROPE,UNITED KINGDOM,UNITED KI6
88,AFRICA,MOZAMBIQUE,MOZAMBIQU2
89,AFRICA,KENYA,KENYA    1
90,AFRICA,MOZAMBIQUE,MOZAMBIQU7
91,ASIA,INDIA,INDIA    3
92,AMERICA,BRAZIL,BRAZIL   5
93,EUROPE,GERMANY,GERMANY  8
94,ASIA,INDONESIA,INDONESIA5
95,AFRICA,MOROCCO,MOROCCO  6
96,ASIA,INDIA,INDIA    5
97,AMERICA,PERU,PERU     1
98,ASIA,JAPAN,JAPAN    6
99,AFRICA,MOROCCO,MOROCCO  5
100,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA5
101,AMERICA,BRAZIL,BRAZIL   7
102,EUROPE,ROMANIA,ROMANIA  1
103,ASIA,INDONESIA,INDONESIA8
104,MIDDLE EAST,IRAN,IRAN     6
105,MIDDLE EAST,IRAN,IRAN     1
106,AMERICA,ARGENTINA,ARGENTINA4
107,AFRICA,MOROCCO,MOROCCO  9
108,AFRICA,ETHIOPIA,ETHIOPIA 8
109,AFRICA,MOZAMBIQUE,MOZAMBIQU9
110,MIDDLE EAST,IRAN,IRAN     9
111,EUROPE,RUSSIA,RUSSIA   1
112,EUROPE,ROMANIA,ROMANIA  5
113,ASIA,JAPAN,JAPAN    0
114,AFRICA,KENYA,KENYA    9
115,ASIA,INDIA,INDIA    0
116,AFRICA,MOZAMBIQUE,MOZAMBIQU9
117,AMERICA,UNITED STATES,UNITED ST7
118,ASIA,CHINA,CHINA    0
119,EUROPE,GERMANY,GERMANY  9
120,ASIA,JAPAN,JAPAN    1
121,AMERICA,PERU,PERU     9
122,AMERICA,CANADA,CANADA   1
123,AFRICA,ETHIOPIA,ETHIOPIA 9
124,ASIA,CHINA,CHINA    7
125,EUROPE,ROMANIA,ROMANIA  8
126,EUROPE,RUSSIA,RUSSIA   8
127,ASIA,VIETNAM,VIETNAM  0
128,MIDDLE EAST,EGYPT,EGYPT    1
129,EUROPE,GERMANY,GERMANY  1
130,ASIA,INDONESIA,INDONESIA5
131,MIDDLE EAST,IRAQ,IRAQ     7
132,MIDDLE EAST,EGYPT,EGYPT    2
133,AMERICA,PERU,PERU     4
134,MIDDLE EAST,IRAQ,IRAQ     7
135,EUROPE,ROMANIA,ROMANIA  4
136,EUROPE,GERMANY,GERMANY  8
137,AFRICA,MOZAMBIQUE,MOZAMBIQU8
138,AFRICA,ETHIOPIA,ETHIOPIA 0
139,ASIA,INDONESIA,INDONESIA0
140,MIDDLE EAST,EGYPT,EGYPT    0
141,AMERICA,ARGENTINA,ARGENTINA5
142,ASIA,INDONESIA,INDONESIA8
143,AFRICA,MOZAMBIQUE,MOZAMBIQU4
144,AMERICA,ARGENTINA,ARGENTINA8
145,MIDDLE EAST,JORDAN,JORDAN   2
146,AMERICA,CANADA,CANADA   4
147,ASIA,CHINA,CHINA    6
148,MIDDLE EAST,IRAQ,IRAQ     9
149,EUROPE,ROMANIA,ROMANIA  6
150,ASIA,CHINA,CHINA    2
151,EUROPE,ROMANIA,ROMANIA  6
152,ASIA,INDIA,INDIA    6
153,EUROPE,FRANCE,FRANCE   1
154,EUROPE,ROMANIA,ROMANIA  5
155,AFRICA,ALGERIA,ALGERIA  7
156,ASIA,INDONESIA,INDONESIA6
157,AFRICA,MOROCCO,MOROCCO  6
158,MIDDLE EAST,IRAN,IRAN     2
159,MIDDLE EAST,IRAN,IRAN     0
160,MIDDLE EAST,JORDAN,JORDAN   7
161,EUROPE,GERMANY,GERMANY  6
162,ASIA,INDIA,INDIA    1
163,ASIA,VIETNAM,VIETNAM  3
164,MIDDLE EAST,EGYPT,EGYPT    9
165,AFRICA,ALGERIA,ALGERIA  8
166,MIDDLE EAST,IRAN,IRAN     3
167,AFRICA,ETHIOPIA,ETHIOPIA 8
168,ASIA,JAPAN,JAPAN    5
169,ASIA,CHINA,CHINA    3
170,AFRICA,MOROCCO,MOROCCO  5
171,EUROPE,GERMANY,GERMANY  1
172,EUROPE,RUSSIA,RUSSIA   9
173,ASIA,INDONESIA,INDONESIA6
174,EUROPE,UNITED KINGDOM,UNITED KI2
175,MIDDLE EAST,IRAN,IRAN     2
176,MIDDLE EAST,JORDAN,JORDAN   3
177,AMERICA,ARGENTINA,ARGENTINA7
178,ASIA,VIETNAM,VIETNAM  4
179,MIDDLE EAST,EGYPT,EGYPT    1
180,MIDDLE EAST,JORDAN,JORDAN   2
181,ASIA,INDONESIA,INDONESIA2
182,AMERICA,CANADA,CANADA   3
183,EUROPE,RUSSIA,RUSSIA   6
184,ASIA,VIETNAM,VIETNAM  6
185,AFRICA,ETHIOPIA,ETHIOPIA 7
186,AMERICA,CANADA,CANADA   9
187,MIDDLE EAST,EGYPT,EGYPT    3
188,AFRICA,ETHIOPIA,ETHIOPIA 8
189,EUROPE,RUSSIA,RUSSIA   7
190,MIDDLE EAST,IRAQ,IRAQ     6
191,AFRICA,MOZAMBIQUE,MOZAMBIQU2
192,MIDDLE EAST,IRAN,IRAN     7
193,EUROPE,UNITED KINGDOM,UNITED KI8
194,AFRICA,MOZAMBIQUE,MOZAMBIQU3
195,EUROPE,RUSSIA,RUSSIA   5
196,ASIA,CHINA,CHINA    0
197,AMERICA,ARGENTINA,ARGENTINA7
198,AMERICA,ARGENTINA,ARGENTINA4
199,MIDDLE EAST,EGYPT,EGYPT    9
200,AFRICA,MOZAMBIQUE,MOZAMBIQU5
201,AMERICA,BRAZIL,BRAZIL   9
202,EUROPE,GERMANY,GERMANY  3
203,AMERICA,ARGENTINA,ARGENTINA8
204,EUROPE,FRANCE,FRANCE   1
205,ASIA,JAPAN,JAPAN    6
206,ASIA,INDONESIA,INDONESIA8
207,ASIA,VIETNAM,VIETNAM  5
208,EUROPE,ROMANIA,ROMANIA  1
209,AFRICA,MOZAMBIQUE,MOZAMBIQU0
210,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA5
211,MIDDLE EAST,JORDAN,JORDAN   9
212,EUROPE,GERMANY,GERMANY  1
213,AMERICA,UNITED STATES,UNITED ST7
214,ASIA,INDIA,INDIA    7
215,ASIA,INDONESIA,INDONESIA6
216,ASIA,VIETNAM,VIETNAM  1
217,EUROPE,UNITED KINGDOM,UNITED KI1
218,MIDDLE EAST,EGYPT,EGYPT    8
219,MIDDLE EAST,IRAQ,IRAQ     0
220,AFRICA,MOZAMBIQUE,MOZAMBIQU5
221,AFRICA,MOZAMBIQUE,MOZAMBIQU0
222,AMERICA,ARGENTINA,ARGENTINA1
223,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA5
224,AFRICA,MOROCCO,MOROCCO  1
225,MIDDLE EAST,JORDAN,JORDAN   5
226,AMERICA,CANADA,CANADA   8
227,MIDDLE EAST,JORDAN,JORDAN   6
228,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA4
229,AMERICA,ARGENTINA,ARGENTINA1
230,ASIA,VIETNAM,VIETNAM  2
231,MIDDLE EAST,IRAN,IRAN     0
232,EUROPE,RUSSIA,RUSSIA   6
233,AMERICA,CANADA,CANADA   2
234,ASIA,CHINA,CHINA    8
235,AMERICA,CANADA,CANADA   8
236,AFRICA,KENYA,KENYA    7
237,EUROPE,ROMANIA,ROMANIA  8
238,AFRICA,MOZAMBIQUE,MOZAMBIQU5
239,ASIA,INDONESIA,INDONESIA2
240,ASIA,INDONESIA,INDONESIA8
241,ASIA,INDONESIA,INDONESIA6
242,AMERICA,CANADA,CANADA   2
243,EUROPE,GERMANY,GERMANY  2
244,AFRICA,MOROCCO,MOROCCO  1
245,ASIA,JAPAN,JAPAN    3
246,AFRICA,MOROCCO,MOROCCO  3
247,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA0
248,MIDDLE EAST,IRAN,IRAN     0
249,AMERICA,CANADA,CANADA   3
250,AFRICA,MOZAMBIQUE,MOZAMBIQU7
251,MIDDLE EAST,JORDAN,JORDAN   7
252,AFRICA,MOZAMBIQUE,MOZAMBIQU0
253,AFRICA,MOROCCO,MOROCCO  0
254,AMERICA,ARGENTINA,ARGENTINA4
255,AMERICA,CANADA,CANADA   4
256,MIDDLE EAST,IRAN,IRAN     4
257,EUROPE,GERMANY,GERMANY  3
258,ASIA,JAPAN,JAPAN    0
259,AFRICA,ETHIOPIA,ETHIOPIA 3
260,AMERICA,ARGENTINA,ARGENTINA3
261,ASIA,JAPAN,JAPAN    1
262,MIDDLE EAST,EGYPT,EGYPT    3
263,AMERICA,ARGENTINA,ARGENTINA5
264,MIDDLE EAST,IRAQ,IRAQ     9
265,AMERICA,PERU,PERU     0
266,AFRICA,ALGERIA,ALGERIA  5
267,AFRICA,MOROCCO,MOROCCO  6
268,AMERICA,CANADA,CANADA   0
269,AFRICA,KENYA,KENYA    8
270,EUROPE,GERMANY,GERMANY  6
271,EUROPE,FRANCE,FRANCE   3
272,AMERICA,BRAZIL,BRAZIL   2
273,AMERICA,BRAZIL,BRAZIL   6
274,EUROPE,ROMANIA,ROMANIA  1
275,EUROPE,RUSSIA,RUSSIA   6
276,AFRICA,MOZAMBIQUE,MOZAMBIQU4
277,EUROPE,UNITED KINGDOM,UNITED KI1
278,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA7
279,ASIA,INDONESIA,INDONESIA2
280,MIDDLE EAST,IRAQ,IRAQ     1
281,EUROPE,FRANCE,FRANCE   9
282,ASIA,CHINA,CHINA    1
283,EUROPE,GERMANY,GERMANY  8
284,EUROPE,FRANCE,FRANCE   8
285,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA0
286,EUROPE,RUSSIA,RUSSIA   6
287,MIDDLE EAST,EGYPT,EGYPT    3
288,AMERICA,BRAZIL,BRAZIL   2
289,MIDDLE EAST,IRAN,IRAN     0
290,MIDDLE EAST,EGYPT,EGYPT    9
291,ASIA,INDIA,INDIA    4
292,MIDDLE EAST,IRAQ,IRAQ     5
293,AMERICA,BRAZIL,BRAZIL   9
294,ASIA,CHINA,CHINA    2
295,AFRICA,ALGERIA,ALGERIA  5
296,AFRICA,MOROCCO,MOROCCO  1
297,AFRICA,MOROCCO,MOROCCO  7
298,ASIA,VIETNAM,VIETNAM  5
299,MIDDLE EAST,EGYPT,EGYPT    9
300,EUROPE,GERMANY,GERMANY  4
301,EUROPE,GERMANY,GERMANY  0
302,MIDDLE EAST,EGYPT,EGYPT    1
303,AMERICA,CANADA,CANADA   3
304,AFRICA,ALGERIA,ALGERIA  5
305,MIDDLE EAST,IRAQ,IRAQ     2
306,MIDDLE EAST,IRAN,IRAN     9
307,MIDDLE EAST,JORDAN,JORDAN   1
308,ASIA,INDONESIA,INDONESIA0
309,ASIA,VIETNAM,VIETNAM  9
310,AMERICA,ARGENTINA,ARGENTINA4
311,EUROPE,UNITED KINGDOM,UNITED KI9
312,EUROPE,FRANCE,FRANCE   5
313,AFRICA,ALGERIA,ALGERIA  2
314,MIDDLE EAST,JORDAN,JORDAN   8
315,EUROPE,GERMANY,GERMANY  1
316,ASIA,INDIA,INDIA    8
317,EUROPE,ROMANIA,ROMANIA  5
318,AFRICA,ALGERIA,ALGERIA  7
319,EUROPE,FRANCE,FRANCE   3
320,ASIA,JAPAN,JAPAN    9
321,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA7
322,MIDDLE EAST,SAUDI ARABIA,SAUDI ARA1
