userProfile;evalProfile;alpha;hellinger
Explorative;Explorative;0.1;0.020805548105934882
Explorative;Explorative;0.2;0.03799254692283058
Explorative;Explorative;0.3;0.05640706611716098
Explorative;Explorative;0.4;0.07278238116909863
Explorative;Explorative;0.5;0.08836757978871469
Explorative;Explorative;0.6;0.12165137806296494
Explorative;Explorative;0.7;0.13636132361626738
Explorative;Explorative;0.8;0.17459082275560425
Explorative;Explorative;0.9;0.20763368857034198
Explorative;Slice and Drill;0.1;0.021296299424550653
Explorative;Slice and Drill;0.2;0.03856551488908996
Explorative;Slice and Drill;0.3;0.05076531004891696
Explorative;Slice and Drill;0.4;0.07249324851995784
Explorative;Slice and Drill;0.5;0.09803763680722082
Explorative;Slice and Drill;0.6;0.11980320714562585
Explorative;Slice and Drill;0.7;0.14196813994709587
Explorative;Slice and Drill;0.8;0.17060676545956646
Explorative;Slice and Drill;0.9;0.21184403229603474
Explorative;Goal Oriented;0.1;0.01997182417338368
Explorative;Goal Oriented;0.2;0.03864955833919871
Explorative;Goal Oriented;0.3;0.06001087981428955
Explorative;Goal Oriented;0.4;0.0698980036393389
Explorative;Goal Oriented;0.5;0.09087648685015906
Explorative;Goal Oriented;0.6;0.12094796823474238
Explorative;Goal Oriented;0.7;0.13636132361626738
Explorative;Goal Oriented;0.8;0.16643374276823006
Explorative;Goal Oriented;0.9;0.20399829107861053
Explorative;Slice All;0.1;0.021600133421287658
Explorative;Slice All;0.2;0.03499871402748805
Explorative;Slice All;0.3;0.0563716522276997
Explorative;Slice All;0.4;0.07586300496223722
Explorative;Slice All;0.5;0.09705939791657084
Explorative;Slice All;0.6;0.12058134333625824
Explorative;Slice All;0.7;0.14258982703605583
Explorative;Slice All;0.8;0.17631012968362128
Explorative;Slice All;0.9;0.21071664624521685
Slice and Drill;Explorative;0.1;0.020954716339527064
Slice and Drill;Explorative;0.2;0.038829135523991504
Slice and Drill;Explorative;0.3;0.05770860821438196
Slice and Drill;Explorative;0.4;0.08135306925433447
Slice and Drill;Explorative;0.5;0.10197847251011068
Slice and Drill;Explorative;0.6;0.1263355050494808
Slice and Drill;Explorative;0.7;0.14896785693764877
Slice and Drill;Explorative;0.8;0.18076085795979593
Slice and Drill;Explorative;0.9;0.2145748951984496
Slice and Drill;Slice and Drill;0.1;0.02084665972247923
Slice and Drill;Slice and Drill;0.2;0.03626126238730236
Slice and Drill;Slice and Drill;0.3;0.05475335549049509
Slice and Drill;Slice and Drill;0.4;0.0828667048299744
Slice and Drill;Slice and Drill;0.5;0.10127516804900939
Slice and Drill;Slice and Drill;0.6;0.12776923546870014
Slice and Drill;Slice and Drill;0.7;0.15005031444795405
Slice and Drill;Slice and Drill;0.8;0.1800157648983961
Slice and Drill;Slice and Drill;0.9;0.2273475187131003
Slice and Drill;Goal Oriented;0.1;0.02143861089272572
Slice and Drill;Goal Oriented;0.2;0.036770717687033855
Slice and Drill;Goal Oriented;0.3;0.05593367271468662
Slice and Drill;Goal Oriented;0.4;0.08114522733925907
Slice and Drill;Goal Oriented;0.5;0.10094650692432144
Slice and Drill;Goal Oriented;0.6;0.12071179836911158
Slice and Drill;Goal Oriented;0.7;0.15121817201005455
Slice and Drill;Goal Oriented;0.8;0.18988826376701218
Slice and Drill;Goal Oriented;0.9;0.2145798263797254
Slice and Drill;Slice All;0.1;0.021788024071949224
Slice and Drill;Slice All;0.2;0.039367940835354776
Slice and Drill;Slice All;0.3;0.054552894542265154
Slice and Drill;Slice All;0.4;0.08032818960745113
Slice and Drill;Slice All;0.5;0.09995590847034565
Slice and Drill;Slice All;0.6;0.12207282547464962
Slice and Drill;Slice All;0.7;0.14777913668553538
Slice and Drill;Slice All;0.8;0.18055461235660789
Slice and Drill;Slice All;0.9;0.2173888084658552
Goal Oriented;Explorative;0.1;0.01704004724411738
Goal Oriented;Explorative;0.2;0.028542591283960472
Goal Oriented;Explorative;0.3;0.03982620878756979
Goal Oriented;Explorative;0.4;0.054819173062800916
Goal Oriented;Explorative;0.5;0.06391129668945747
Goal Oriented;Explorative;0.6;0.09160336193629007
Goal Oriented;Explorative;0.7;0.1201331958960419
Goal Oriented;Explorative;0.8;0.1363435797930443
Goal Oriented;Explorative;0.9;0.16043457088790153
Goal Oriented;Slice and Drill;0.1;0.017878008252032944
Goal Oriented;Slice and Drill;0.2;0.02517597214771712
Goal Oriented;Slice and Drill;0.3;0.04165907513054336
Goal Oriented;Slice and Drill;0.4;0.06045184648519084
Goal Oriented;Slice and Drill;0.5;0.07700907260365758
Goal Oriented;Slice and Drill;0.6;0.08742948050291527
Goal Oriented;Slice and Drill;0.7;0.12035222253104089
Goal Oriented;Slice and Drill;0.8;0.1463546680362763
Goal Oriented;Slice and Drill;0.9;0.17618286727454263
Goal Oriented;Goal Oriented;0.1;0.016389290683486067
Goal Oriented;Goal Oriented;0.2;0.026370524469993196
Goal Oriented;Goal Oriented;0.3;0.04436824030850921
Goal Oriented;Goal Oriented;0.4;0.05375296843095264
Goal Oriented;Goal Oriented;0.5;0.0740243750377298
Goal Oriented;Goal Oriented;0.6;0.08824134997742457
Goal Oriented;Goal Oriented;0.7;0.11000423345423703
Goal Oriented;Goal Oriented;0.8;0.1356897557320948
Goal Oriented;Goal Oriented;0.9;0.1729670943432978
Goal Oriented;Slice All;0.1;0.017191131842227793
Goal Oriented;Slice All;0.2;0.03022113430693337
Goal Oriented;Slice All;0.3;0.044783281399220234
Goal Oriented;Slice All;0.4;0.050710866857353015
Goal Oriented;Slice All;0.5;0.07225448135478756
Goal Oriented;Slice All;0.6;0.09138210151832
Goal Oriented;Slice All;0.7;0.11466904664742279
Goal Oriented;Slice All;0.8;0.13206297727088387
Goal Oriented;Slice All;0.9;0.181508774860046
Slice All;Explorative;0.1;0.050100728004885055
Slice All;Explorative;0.2;0.10665405422309096
Slice All;Explorative;0.3;0.1490473775040767
Slice All;Explorative;0.4;0.18543136097753066
Slice All;Explorative;0.5;0.23141962077567735
Slice All;Explorative;0.6;0.28245115139321336
