;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;salimLabel
1;dibstudent03--2016-09-24--23-01.log-10;88;0.0379746835443038;0;4;0.0;0;2;3;11;0;0;3;0;0.073524988469945;1;149.609;0.031;0.267899517761647;18;1;2;0.305555555555556;1.422;1;0;1
2;dibstudent03--2016-09-24--23-01.log-11;61;0.0379746835443038;1;14;0.0;0;2;2;12;0;0;2;0;0.0794459965838221;0.693181818181818;151.046;0.015;0.350137604871173;17;1;2;0.333333333333333;8.063;0;0;1
3;dibstudent03--2016-09-24--23-01.log-12;88;0.0379746835443038;1;3;0.0;0;2;2;13;0;0;3;0;0.0816967792615868;1;159.125;0.016;0.267899517761647;16;0.693181818181818;2;0.361111111111111;2.718;0;0;1
4;dibstudent03--2016-09-24--23-01.log-13;88;0.0379746835443038;0;3;0.0;0;2;3;14;0;0;3;0;0.0864533738429142;1;161.937;0.094;0.267899517761647;15;1;2;0.388888888888889;1.359;1;0;1
5;dibstudent03--2016-09-24--23-01.log-14;88;0.0379746835443038;0;3;0.0;0;2;3;15;0;0;3;0;0.0917431192660551;1;163.5;0.204;0.267899517761647;14;1;2;0.416666666666667;11.64;1;0;1
6;dibstudent03--2016-09-24--23-01.log-15;88;0.0379746835443038;0;3;0.0;0;2;3;16;0;0;3;0;0.0913309777551987;1;175.187;0.047;0.267899517761647;13;1;2;0.444444444444444;4.531;1;0;1
7;dibstudent03--2016-09-24--23-01.log-16;88;0.0379746835443038;0;3;0.0;0;2;3;17;0;0;3;0;0.0945679081022446;1;179.765;0.047;0.267899517761647;12;1;2;0.472222222222222;1.391;1;0;1
8;dibstudent03--2016-09-24--23-01.log-17;88;0.0379746835443038;0;3;0.0;0;2;3;18;0;0;3;0;0.0993278813362911;1;181.218;0.062;0.267899517761647;11;1;2;0.5;21.766;1;0;1
9;dibstudent03--2016-09-24--23-01.log-18;115;0.0379746835443038;1;7;0.0;0;2;3;19;0;0;4;0.0737704918032787;0.0934023527561068;1;203.421;0.437;0.577435261915264;10;0.765217391304348;2;0.527777777777778;11.172;0;0;1
10;dibstudent03--2016-09-24--23-01.log-19;115;0.0379746835443038;0;7;0.0;0;2;4;20;0;0;4;0;0.0931658211868394;1;214.671;0.078;0.577435261915264;9;1;2;0.555555555555556;1.11;1;0;1
11;dibstudent03--2016-09-24--23-01.log-20;88;0.0379746835443038;1;1;0.0;0;2;3;21;0;0;3;0;0.0973069152781124;0.765217391304348;215.812;0.031;0.267899517761647;8;1;2;0.583333333333333;23.766;0;0;1
12;dibstudent03--2016-09-24--23-01.log-21;88;0.0379746835443038;0;1;0.0;0;2;3;22;0;0;3;0;0.091822382123017;1;239.593;0.015;0.267899517761647;7;1;2;0.611111111111111;1.641;1;0;1
13;dibstudent03--2016-09-24--23-01.log-22;88;0.0379746835443038;0;1;0.0;0;2;3;23;0;0;3;0;0.0953122927993635;1;241.312;0.078;0.267899517761647;6;1;2;0.638888888888889;4.922;1;0;1
14;dibstudent03--2016-09-24--23-01.log-23;88;0.0379746835443038;0;1;0.0;0;2;3;24;0;0;3;0;0.0974619289340102;1;246.25;0.016;0.267899517761647;5;1;2;0.666666666666667;3.609;1;0;1
15;dibstudent03--2016-09-24--23-01.log-24;88;0.0379746835443038;0;1;0.0;0;2;3;25;0;0;3;0;0.100031609988756;1;249.921;0.062;0.267899517761647;4;1;2;0.694444444444444;7.891;1;0;1
16;dibstudent03--2016-09-24--23-01.log-25;88;0.0379746835443038;0;1;0.0;0;2;3;26;0;0;3;0;0.100818178293071;1;257.89;0.078;0.267899517761647;3;1;2;0.722222222222222;1.844;1;0;1
17;dibstudent03--2016-09-24--23-01.log-26;88;0.0379746835443038;0;1;0.0;0;2;3;27;0;0;3;0;0.103940099705503;1;259.765;0.031;0.267899517761647;2;1;2;0.75;12.922;1;0;1
18;dibstudent03--2016-09-24--23-01.log-27;61;0.0379746835443038;1;1;0.0;0;2;2;28;0;0;2;0;0.102664134284688;0.693181818181818;272.734;0.047;0.350137604871173;1;1;2;0.777777777777778;0.594;0;0;0
19;dibstudent03--2016-09-24--23-01.log-28;34;0.0379746835443038;1;0;0.0;0;2;1;29;0;0;1;0;0.106087599091305;0.557377049180328;273.359;0.031;0.0181731340218864;0;1;2;0.805555555555556;18.25;0;0;0
20;dibstudent03--2016-09-24--23-01.log-31;20;0.0126582278481013;2;0;1.0;0;1;1;32;0;0;1;0.0447427293064877;0.106850449439703;0;299.484;0.016;0.388049867162683;1;0;1;0.888888888888889;2.828;0;0;0
21;dibstudent03--2016-09-24--23-01.log-34;32;0.0126582278481013;1;0;0.0;0.20253164556962;1;1;35;16;16;2;0.0345572354211663;0.10072406211509;1;347.484;0.141;0.456898883052266;1;0.5;1;0.972222222222222;33.875;0;0;1
22;dibstudent03--2016-09-24--23-01.log-35;32;0.0126582278481013;0;0;0.0;0.20253164556962;1;2;36;16;16;2;0;0.0943952802359882;1;381.375;0.016;0.456898883052266;0;1;1;1;0;1;0;1
23;dibstudent03--2016-09-24--23-01.log-4;166;0.0253164556962025;1;1;0.0;0;2;3;5;0;0;3;0.851282051282051;0.128103302503139;0;39.031;0.36;0.203584279112662;2;0;1;0.138888888888889;4.531;0;1;1
24;dibstudent03--2016-09-24--23-01.log-5;166;0.0253164556962025;0;1;0.0;0;2;3;6;0;0;3;0;0.137636776546693;1;43.593;0.031;0.203584279112662;1;1;2;0.166666666666667;45.672;1;0;1
25;dibstudent03--2016-09-24--23-01.log-6;56;0.0126582278481013;1;0;1.0;0;1;3;7;0;0;3;0.223107569721116;0.0783769258330348;0;89.312;0.047;0.254774733694653;0;0;1;0.194444444444444;50.203;0;0;1
26;dibstudent03--2016-09-24--23-01.log-7;88;0.0379746835443038;2;4;0.0;0;2;3;8;0;0;3;0.259587020648968;0.0571428571428571;0;140;0.485;0.267899517761647;21;0;1;0.222222222222222;4.562;0;1;1
27;dibstudent03--2016-09-24--23-01.log-8;88;0.0379746835443038;0;4;0.0;0;2;3;9;0;0;3;0;0.0622299049265341;1;144.625;0.063;0.267899517761647;20;1;2;0.25;1.64;1;0;1
28;dibstudent03--2016-09-24--23-01.log-9;88;0.0379746835443038;0;4;0.0;0;2;3;10;0;0;3;0;0.0682962143408391;1;146.421;0.156;0.267899517761647;19;1;2;0.277777777777778;3.157;1;0;1
29;dibstudent03--2016-09-25--15-42.log-10;4;0.0285714285714286;1;0;0.0;0;2;1;11;0;0;2;0.00427350427350427;0.192401875043728;1;57.172;0.125;0.417514429963863;0;0.5;2;0.189655172413793;13.859;0;0;1
30;dibstudent03--2016-09-25--15-42.log-11;16;0.0571428571428571;2;1;0.0;0;3;2;12;0;0;2;0.0330578512396694;0.168274624186673;0;71.312;0.281;0.290854878838575;23;0;2;0.206896551724138;2.422;0;1;1
