qid;Metric - Aggregation Depth;Metric - Click Depth;Metric - Click Per Query.;Metric - Consideration time;Metric - Elapsed time;Metric - Execution time;Metric - Filter Depth;Metric - Increase in View Area;Metric - Is Refine;Metric - Is Relax;Metric - Iterative Common Aggregations;Metric - Iterative Common Filters;Metric - Iterative Common Measures;Metric - Iterative Distance;Metric - Iterative Identity;Metric - Iterative Precision;Metric - Iterative Recall;Metric - Number of aggregations;Metric - Number of Filters;Metric - Number of measures;Metric - Query frequency;Metric - Relative Query Position (RQP)...;Metric - Relevant New Information;Metric Number of queries...;Nb of cells;label
dibstudent03--2016-09-24--23-01.log-10;0.0379746835443038;18;4;1.422;149.609;0.031;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.073524988469945;0.305555555555556;0.267899517761647;11;88;1
dibstudent03--2016-09-24--23-01.log-11;0.0379746835443038;17;14;8.063;151.046;0.015;0;0;0;0.0;2;0;2;1;0;1;0.693181818181818;2;0;2;0.0794459965838221;0.333333333333333;0.350137604871173;12;61;1
dibstudent03--2016-09-24--23-01.log-12;0.0379746835443038;16;3;2.718;159.125;0.016;0;0;0;0.0;2;0;2;1;0;0.693181818181818;1;2;0;3;0.0816967792615868;0.361111111111111;0.267899517761647;13;88;1
dibstudent03--2016-09-24--23-01.log-13;0.0379746835443038;15;3;1.359;161.937;0.094;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0864533738429142;0.388888888888889;0.267899517761647;14;88;1
dibstudent03--2016-09-24--23-01.log-14;0.0379746835443038;14;3;11.64;163.5;0.204;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0917431192660551;0.416666666666667;0.267899517761647;15;88;1
dibstudent03--2016-09-24--23-01.log-15;0.0379746835443038;13;3;4.531;175.187;0.047;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0913309777551987;0.444444444444444;0.267899517761647;16;88;1
dibstudent03--2016-09-24--23-01.log-16;0.0379746835443038;12;3;1.391;179.765;0.047;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0945679081022446;0.472222222222222;0.267899517761647;17;88;1
dibstudent03--2016-09-24--23-01.log-17;0.0379746835443038;11;3;21.766;181.218;0.062;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0993278813362911;0.5;0.267899517761647;18;88;1
dibstudent03--2016-09-24--23-01.log-18;0.0379746835443038;10;7;11.172;203.421;0.437;0;0.0737704918032787;0;0.0;2;0;3;1;0;0.765217391304348;1;2;0;4;0.0934023527561068;0.527777777777778;0.577435261915264;19;115;1
dibstudent03--2016-09-24--23-01.log-19;0.0379746835443038;9;7;1.11;214.671;0.078;0;0;0;0.0;2;0;4;0;1;1;1;2;0;4;0.0931658211868394;0.555555555555556;0.577435261915264;20;115;1
dibstudent03--2016-09-24--23-01.log-20;0.0379746835443038;8;1;23.766;215.812;0.031;0;0;0;0.0;2;0;3;1;0;1;0.765217391304348;2;0;3;0.0973069152781124;0.583333333333333;0.267899517761647;21;88;1
dibstudent03--2016-09-24--23-01.log-21;0.0379746835443038;7;1;1.641;239.593;0.015;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.091822382123017;0.611111111111111;0.267899517761647;22;88;1
dibstudent03--2016-09-24--23-01.log-22;0.0379746835443038;6;1;4.922;241.312;0.078;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0953122927993635;0.638888888888889;0.267899517761647;23;88;1
dibstudent03--2016-09-24--23-01.log-23;0.0379746835443038;5;1;3.609;246.25;0.016;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0974619289340102;0.666666666666667;0.267899517761647;24;88;1
dibstudent03--2016-09-24--23-01.log-24;0.0379746835443038;4;1;7.891;249.921;0.062;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.100031609988756;0.694444444444444;0.267899517761647;25;88;1
dibstudent03--2016-09-24--23-01.log-25;0.0379746835443038;3;1;1.844;257.89;0.078;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.100818178293071;0.722222222222222;0.267899517761647;26;88;1
dibstudent03--2016-09-24--23-01.log-26;0.0379746835443038;2;1;12.922;259.765;0.031;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.103940099705503;0.75;0.267899517761647;27;88;1
dibstudent03--2016-09-24--23-01.log-27;0.0379746835443038;1;1;0.594;272.734;0.047;0;0;0;0.0;2;0;2;1;0;1;0.693181818181818;2;0;2;0.102664134284688;0.777777777777778;0.350137604871173;28;61;0
dibstudent03--2016-09-24--23-01.log-28;0.0379746835443038;0;0;18.25;273.359;0.031;0;0;0;0.0;2;0;1;1;0;1;0.557377049180328;2;0;1;0.106087599091305;0.805555555555556;0.0181731340218864;29;34;0
dibstudent03--2016-09-24--23-01.log-31;0.0126582278481013;1;0;2.828;299.484;0.016;0;0.0447427293064877;0;1.0;1;0;1;2;0;0;0;1;0;1;0.106850449439703;0.888888888888889;0.388049867162683;32;20;0
dibstudent03--2016-09-24--23-01.log-34;0.0126582278481013;1;0;33.875;347.484;0.141;0.20253164556962;0.0345572354211663;0;0.0;1;16;1;1;0;0.5;1;1;16;2;0.10072406211509;0.972222222222222;0.456898883052266;35;32;1
dibstudent03--2016-09-24--23-01.log-35;0.0126582278481013;0;0;0;381.375;0.016;0.20253164556962;0;0;0.0;1;16;2;0;1;1;1;1;16;2;0.0943952802359882;1;0.456898883052266;36;32;1
dibstudent03--2016-09-24--23-01.log-4;0.0253164556962025;2;1;4.531;39.031;0.36;0;0.851282051282051;1;0.0;1;0;3;1;0;0;0;2;0;3;0.128103302503139;0.138888888888889;0.203584279112662;5;166;1
dibstudent03--2016-09-24--23-01.log-5;0.0253164556962025;1;1;45.672;43.593;0.031;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.137636776546693;0.166666666666667;0.203584279112662;6;166;1
dibstudent03--2016-09-24--23-01.log-6;0.0126582278481013;0;0;50.203;89.312;0.047;0;0.223107569721116;0;1.0;1;0;3;1;0;0;0;1;0;3;0.0783769258330348;0.194444444444444;0.254774733694653;7;56;1
dibstudent03--2016-09-24--23-01.log-7;0.0379746835443038;21;4;4.562;140;0.485;0;0.259587020648968;1;0.0;1;0;3;2;0;0;0;2;0;3;0.0571428571428571;0.222222222222222;0.267899517761647;8;88;1
dibstudent03--2016-09-24--23-01.log-8;0.0379746835443038;20;4;1.64;144.625;0.063;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0622299049265341;0.25;0.267899517761647;9;88;1
dibstudent03--2016-09-24--23-01.log-9;0.0379746835443038;19;4;3.157;146.421;0.156;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0682962143408391;0.277777777777778;0.267899517761647;10;88;1
dibstudent03--2016-09-25--15-42.log-10;0.0285714285714286;0;0;13.859;57.172;0.125;0;0.00427350427350427;0;0.0;2;0;1;1;0;0.5;1;2;0;2;0.192401875043728;0.189655172413793;0.417514429963863;11;4;1
dibstudent03--2016-09-25--15-42.log-11;0.0571428571428571;23;1;2.422;71.312;0.281;0;0.0330578512396694;1;0.0;2;0;2;2;0;0;0;3;0;2;0.168274624186673;0.206896551724138;0.290854878838575;12;16;1
dibstudent03--2016-09-25--15-42.log-12;0.0571428571428571;22;1;20.875;73.781;0.047;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.176197123920793;0.224137931034483;0.290854878838575;13;16;1
dibstudent03--2016-09-25--15-42.log-13;0.0571428571428571;21;9;11.5;94.812;0.156;0;0;0;0.0;3;0;1;1;0;1;0.5;3;0;1;0.147660633675062;0.241379310344828;0.293955098590831;14;8;1
dibstudent03--2016-09-25--15-42.log-14;0.0571428571428571;20;10;3.063;106.359;0.047;0;0.0241935483870968;0;0.0;3;0;1;1;0;0.4;1;3;0;2;0.141031788565143;0.258620689655172;0.406787275775279;15;20;1
dibstudent03--2016-09-25--15-42.log-15;0.0571428571428571;19;10;4.985;109.64;0.218;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.145932141554177;0.275862068965517;0.406787275775279;16;20;1
dibstudent03--2016-09-25--15-42.log-16;0.0571428571428571;18;10;3.062;114.828;0.203;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.148047514543491;0.293103448275862;0.406787275775279;17;20;1
dibstudent03--2016-09-25--15-42.log-17;0.0571428571428571;17;10;3.078;118.359;0.469;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.152079689757433;0.310344827586207;0.406787275775279;18;20;1
dibstudent03--2016-09-25--15-42.log-18;0.0571428571428571;16;10;2.391;121.656;0.219;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.156178075886105;0.327586206896552;0.406787275775279;19;20;1
dibstudent03--2016-09-25--15-42.log-19;0.0571428571428571;15;10;1.422;124.078;0.031;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.161188929544319;0.344827586206897;0.406787275775279;20;20;1
dibstudent03--2016-09-25--15-42.log-20;0.0571428571428571;14;10;1.796;125.672;0.172;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.167101661467948;0.362068965517241;0.406787275775279;21;20;1
dibstudent03--2016-09-25--15-42.log-21;0.0571428571428571;13;10;2.828;127.656;0.188;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.17233815880178;0.379310344827586;0.406787275775279;22;20;1
dibstudent03--2016-09-25--15-42.log-22;0.0571428571428571;12;10;3.156;130.672;0.188;0;0;0;0.0;3;0;2;0;1;1;1;3;0;2;0.176013223950043;0.396551724137931;0.406787275775279;23;20;1
dibstudent03--2016-09-25--15-42.log-23;0.0428571428571429;11;2;3.5;133.859;0.031;0;0.0387596899224806;0;1.0;2;0;2;1;0;0;0;2;0;2;0.179293136808134;0.413793103448276;0.406787275775279;24;20;1
dibstudent03--2016-09-25--15-42.log-24;0.0428571428571429;10;2;3.86;137.437;0.078;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.181901525789998;0.431034482758621;0.406787275775279;25;20;1
dibstudent03--2016-09-25--15-42.log-25;0.0428571428571429;9;2;70.578;141.406;0.109;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.183867728384934;0.448275862068966;0.406787275775279;26;20;1
dibstudent03--2016-09-25--15-42.log-26;0.0428571428571429;8;7;13.594;212.015;0.031;0;0;0;0.0;2;0;1;1;0;1;0.6;2;0;1;0.127349479989623;0.46551724137931;0.293798054282534;27;12;1
dibstudent03--2016-09-25--15-42.log-27;0.0428571428571429;7;1;11.563;225.64;0.031;0;0;0;0.0;2;0;1;1;0;0.6;1;2;0;2;0.12409147314306;0.482758620689655;0.406787275775279;28;20;1
dibstudent03--2016-09-25--15-42.log-28;0.0428571428571429;6;1;1.781;237.234;0.031;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.122242174393215;0.5;0.406787275775279;29;20;1
dibstudent03--2016-09-25--15-42.log-29;0.0428571428571429;5;1;3.984;239.172;0.157;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.125432742963223;0.517241379310345;0.406787275775279;30;20;1
dibstudent03--2016-09-25--15-42.log-30;0.0428571428571429;4;1;4.109;243.203;0.047;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.127465532908722;0.53448275862069;0.406787275775279;31;20;1
dibstudent03--2016-09-25--15-42.log-31;0.0428571428571429;3;1;1.359;247.328;0.016;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.129382843834908;0.551724137931034;0.406787275775279;32;20;1
dibstudent03--2016-09-25--15-42.log-32;0.0428571428571429;2;1;2.922;248.703;0.016;0;0;0;0.0;2;0;2;0;1;1;1;2;0;2;0.13268838735359;0.568965517241379;0.406787275775279;33;20;1
dibstudent03--2016-09-25--15-42.log-34;0.0428571428571429;0;0;64;257.578;0.016;0;0;0;0.0;2;0;1;1;0;0.6;1;2;0;2;0.135881169975697;0.603448275862069;0.406787275775279;35;20;1
dibstudent03--2016-09-25--15-42.log-35;0.0428571428571429;5;5;121.855;321.609;0.031;0.114285714285714;0;1;0.0;2;0;2;4;0;1;0.8;2;4;2;0.11193716593752;0.620689655172414;0.360918517565144;36;16;1
dibstudent03--2016-09-25--15-42.log-36;0.0571428571428571;4;7;8.735;443.886;0.422;0.114285714285714;0.134228187919463;1;0.0;2;4;2;1;0;0;0;3;4;2;0.08335473522481;0.637931034482759;0.289653206327448;37;80;1
dibstudent03--2016-09-25--15-42.log-37;0.0571428571428571;3;7;20.531;452.918;0.297;0.114285714285714;0;0;0.0;3;4;2;0;1;1;1;3;4;2;0.083900396981352;0.655172413793103;0.289653206327448;38;80;1
