Exploration;Expertise ABCD;Expertise ABC
dibstudent03--2016-09-24--23-01.log;B;B
dibstudent03--2016-09-25--15-42.log;B;C
dibstudent03--2016-09-25--15-56.log;B;C
dibstudent03--2016-09-25--16-20.log;C;D
dibstudent03--2016-09-25--17-37.log;C;B
dibstudent04--2016-09-20--14-38.log;B;B
dibstudent04--2016-09-20--15-33.log;B;C
dibstudent04--2016-09-25--11-53.log;B;C
dibstudent04--2016-09-25--21-22.log;C;D
dibstudent04--2016-09-25--21-46.log;C;D
dibstudent05--2016-09-26--08-16.log;C;D
dibstudent06_08--2016-09-22--10-45.log;C;D
dibstudent06--2016-09-25--21-45.log;B;B
dibstudent06--2016-09-25--22-29.log;B;B
dibstudent07--2016-09-19--21-11.log;B;B
dibstudent07--2016-09-24--22-42.log;B;B
dibstudent07--2016-09-25--23-00.log;B;C
dibstudent07--2016-09-25--23-45.log;B;B
dibstudent07--2016-09-26--00-34.log;C;D
dibstudent09--2016-09-23--15-07.log;B;B
dibstudent09--2016-09-26--20-47.log;C;D
dibstudent10--2016-09-20--15-32.log;B;C
dibstudent10--2016-09-26--08-15.log;B;C
dibstudent10--2016-09-27--03-32.log;C;D
dibstudent10--2016-09-27--04-14.log;C;D
dibstudent12--2016-09-26--07-28.log;B;B
dibstudent12--2016-09-26--07-49.log;B;C
dibstudent14--2016-09-27--16-59.log;C;D
dibstudent14--2016-09-27--17-25.log;B;B
dibstudent16--2016-10-04--22-55.log;B;B
dibstudent16--2016-10-04--23-27.log;B;B
dibstudent16--2016-10-06--22-03.log;C;D
