order;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;veronikaLabel
1;dibstudent03--2016-09-24--23-01.log-0;19;0.0126582278481013;0;0;0;0;1;0;1;0;0;3;1;1;1;0.015;0.015;0.417936203826738;2;0.5;0;0.0277777777777778;4.36;0;0;0
2;dibstudent03--2016-09-24--23-01.log-1;19;0.0126582278481013;0;0;0;0;1;3;2;0;0;3;0;0.457142857142857;1;4.375;0;0.417936203826738;1;1;1;0.0555555555555556;2.812;1;0;0
3;dibstudent03--2016-09-24--23-01.log-10;88;0.0379746835443038;0;4;0;0;2;3;11;0;0;3;0;0.073524988469945;1;149.609;0.031;0.267899517761647;18;1;2;0.305555555555556;1.422;1;0;1
4;dibstudent03--2016-09-24--23-01.log-11;61;0.0379746835443038;1;14;1;0;2;2;12;0;0;2;0;0.0794459965838221;0.693181818181818;151.046;0.015;0.350137604871173;17;1;2;0.333333333333333;8.063;0;0;1
5;dibstudent03--2016-09-24--23-01.log-12;88;0.0379746835443038;1;3;1;0;2;2;13;0;0;3;0;0.0816967792615868;1;159.125;0.016;0.267899517761647;16;0.693181818181818;2;0.361111111111111;2.718;0;0;1
6;dibstudent03--2016-09-24--23-01.log-13;88;0.0379746835443038;0;3;0;0;2;3;14;0;0;3;0;0.0864533738429142;1;161.937;0.094;0.267899517761647;15;1;2;0.388888888888889;1.359;1;0;1
7;dibstudent03--2016-09-24--23-01.log-14;88;0.0379746835443038;0;3;0;0;2;3;15;0;0;3;0;0.0917431192660551;1;163.5;0.204;0.267899517761647;14;1;2;0.416666666666667;11.64;1;0;1
8;dibstudent03--2016-09-24--23-01.log-15;88;0.0379746835443038;0;3;0;0;2;3;16;0;0;3;0;0.0913309777551987;1;175.187;0.047;0.267899517761647;13;1;2;0.444444444444444;4.531;1;0;1
9;dibstudent03--2016-09-24--23-01.log-16;88;0.0379746835443038;0;3;0;0;2;3;17;0;0;3;0;0.0945679081022446;1;179.765;0.047;0.267899517761647;12;1;2;0.472222222222222;1.391;1;0;1
10;dibstudent03--2016-09-24--23-01.log-17;88;0.0379746835443038;0;3;0;0;2;3;18;0;0;3;0;0.0993278813362911;1;181.218;0.062;0.267899517761647;11;1;2;0.5;21.766;1;0;1
