;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;veronikaLabel
197;dibstudent03--2016-09-25--17-37.log-0;22;0.0428571428571429;0;0;0;0;2;0;1;0;0;1;0.0151724137931034;1;1;0.016;0.016;0.622736353000198;0;0.5;0;0.0833333333333333;13.062;0;0;0
198;dibstudent03--2016-09-25--17-37.log-1;21;0.0428571428571429;2;0;2;0;2;0;2;0;0;1;0.0142760027192386;0.151125887864591;0;13.234;0.156;0.240952158581365;0;0;2;0.166666666666667;18.36;0;0;0
201;dibstudent03--2016-09-25--17-37.log-2;22;0.0428571428571429;2;0;2;0;2;0;3;0;0;1;0;0.0949096776234617;0;31.609;0.015;0.622736353000198;0;0;2;0.25;10.969;0;0;0
202;dibstudent03--2016-09-25--17-37.log-3;22;0.0428571428571429;2;1;2;0;2;0;4;0;0;1;0.014735432016075;0.0933968431867003;0;42.828;0.25;0.192716707403036;2;0;2;0.333333333333333;101.469;0;0;0
203;dibstudent03--2016-09-25--17-37.log-4;44;0.0428571428571429;1;1;1;0;2;1;5;0;0;2;0.0145214521452145;0.0345908251295426;1;144.547;0.25;0.24704081274886;1;0.5;2;0.416666666666667;17.109;0;0;0
204;dibstudent03--2016-09-25--17-37.log-5;22;0.0428571428571429;1;0;1;0;2;1;6;0;0;1;0;0.0371050629858444;0.5;161.703;0.047;0.192716707403036;0;1;2;0.5;8.094;0;0;0
205;dibstudent03--2016-09-25--17-37.log-6;65;0.0714285714285714;2;2;2;0;3;1;7;0;0;1;0.0411392405063291;0.0411160058737151;0;170.25;0.453;0.193786388067707;5;0;2;0.583333333333333;4.516;0;1;0
206;dibstudent03--2016-09-25--17-37.log-7;65;0.0714285714285714;0;2;0;0;3;1;8;0;0;1;0;0.0457223851082192;1;174.969;0.203;0.193786388067707;4;1;3;0.666666666666667;28.578;1;0;0
210;dibstudent04--2016-09-20--15-33.log-0;21;0.0285714285714286;0;1;0;0;1;1;2;0;0;1;0.00836820083682008;0.207792207792208;1;9.625;0.156;0.49660456837739;12;0.333333333333333;1;0.0344827586206897;5.282;1;0;1
211;dibstudent04--2016-09-20--15-33.log-1;28;0.0285714285714286;1;3;1;0;2;1;11;0;0;1;0.00904977375565611;0.0514393670152073;1;213.844;0.125;0.282319086300229;3;0.142857142857143;2;0.189655172413793;39.641;0;0;0
212;dibstudent04--2016-09-20--15-33.log-2;162;0.0428571428571429;1;0;1;0;3;1;12;0;0;1;0.0550507749866382;0.0472643772327495;0;253.891;0.406;0.247848180156371;2;0;2;0.206896551724138;7.703;0;1;0
213;dibstudent04--2016-09-20--15-33.log-3;162;0.0428571428571429;0;0;0;0;3;1;13;0;0;1;0;0.0496922900500745;1;261.61;0.016;0.247848180156371;1;1;3;0.224137931034483;13.953;1;0;0
214;dibstudent04--2016-09-20--15-33.log-4;59;0.0428571428571429;0;0;0;0;3;1;14;0;0;1;0;0.0508021293349638;0.364197530864198;275.579;0.016;0.289312357585548;0;1;3;0.241379310344828;11.14;1;0;0
215;dibstudent04--2016-09-20--15-33.log-5;258;0.0714285714285714;2;6;2;0;4;1;15;0;0;1;0.121183654297792;0.0522078708586106;0;287.313;0.594;0.353650859372342;8;0;3;0.258620689655172;1.547;0;1;0
216;dibstudent04--2016-09-25--11-53.log-0;60;0.0571428571428571;1;2;1;0;3;1;16;0;0;1;0;0.0553752016003433;0;288.938;0.078;0.305995631688329;7;0;3;0.275862068965517;35.766;0;0;0
217;dibstudent04--2016-09-25--11-53.log-1;60;0.0571428571428571;0;2;0;0;3;1;17;0;0;1;0;0.0523529574801598;1;324.719;0.015;0.305995631688329;6;1;3;0.293103448275862;2.266;1;0;0
218;dibstudent04--2016-09-25--11-53.log-2;60;0.0571428571428571;0;2;0;0;3;1;18;0;0;1;0;0.055045871559633;1;327;0.015;0.305995631688329;5;1;3;0.310344827586207;1.719;1;0;0
219;dibstudent04--2016-09-25--11-53.log-3;10;0.0428571428571429;1;3;1;0;2;1;19;0;0;1;0.00467508181393174;0.0577973139458835;0;328.735;0.016;0.37357824159479;4;0;2;0.327586206896552;34.562;0;0;0
220;dibstudent04--2016-09-25--11-53.log-4;10;0.0428571428571429;0;3;0;0;2;1;20;0;0;1;0;0.0550489522808157;1;363.313;0.016;0.37357824159479;3;1;2;0.344827586206897;15.453;1;0;0
221;dibstudent04--2016-09-25--11-53.log-5;14;0.0428571428571429;1;1;1;0;2;1;3;0;0;1;0;0.201045436268597;0.666666666666667;14.922;0.015;0.550868442552952;11;1;1;0.0517241379310345;21.375;0;1;1
222;dibstudent04--2016-09-25--11-53.log-6;60;0.0571428571428571;1;0;1;0;3;1;21;0;0;1;0;0.0554408604421541;0;378.782;0.016;0.305995631688329;2;0;2;0.362068965517241;3.172;0;1;1
