userId;session;analysis;cube;nb queries;contribution
a;3C604A43A349CDC4130E5F83A8625EE6C83A2283F66A05BD44300AE9E67250DE;1;Films;8;0, 2, 4-6
a;6FFA857E98DC952622534B7F6DC3347D7D9A5127400C1EB01E093B658AD84B49;1;Films;1;-
I050582;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;1;Films;3;-
I050638;E838EB794D13151CFAE48095ACD56908E0A93495D2CA903F7162F3071101F22A;1;Films;5;0-3
I050648;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;1;Films;5;0, 2-4
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;1;Films;1;-
I051069;C6928871440D2A9EE67A2BB9C0178CFDF02AE89A4780F79CA2D407A0EA5F584D;1;Films;3;-
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;1;Films;18;1-7, 10, 14-15
I051430;DE1B24815138D10E942ED4F51735B9B46FE69928F5B4A30150F1822688E64597;1;Films;2;-
I051435;61125156E07AA4689839C9821FE65B05F7C2143440172F36ADC94A8AB93CE330;1;Films;9;0-7
I051738;B14A56479D3084E01B61BD92816198B7921A9310073749B3783D5C16587AA622;1;Films;4;0-1, 3
I051881;9A785E6798E260C46352A7B90FAD29CFA536F5C7109F2A80E5CD5DA05E495CB8;1;Films;1;-
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;1;Films;5;0-3
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;1;Films;4;0, 3
I072507;F043B57DC27CD5351F4A04F235EF7934EE1AF057E1FE9AB3350C0712A46AA23F;1;Films;2;-
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;1;Films;10;0, 5
I316785;0001BDAD11490DEA53791D77A9DD35BBD6DDA9EC2E01D78617538C4CBBFE4521;1;Films;1;-
I316785;97318F64E2F56689865E28573E0884D5F65E7891637D13F3CECDE4C24095CF02;1;Films;1;-
I316785;DD54A635898ECEBAD9BB422E49965C1C2F0A1CFD54306A8629A64F7CEB248E5F;1;Films;1;-
a;3C604A43A349CDC4130E5F83A8625EE6C83A2283F66A05BD44300AE9E67250DE;2;Films;6;0, 2-5
I050582;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;2;Films;8;0-3, 5-7
I050648;78800BE8CEA61EE809830FA78386B6DFB4DAD39EFEE862E34B966556F0DCF817;2;Films;2;0-1
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;2;Films;3;0,2
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;2;Films;7;0, 2-3
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;Films;23;1, 4, 6-8, 11, 13, 15, 18-20
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;2;Films;3;0-2
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;2;Films;6;1, 3-5
I072507;F043B57DC27CD5351F4A04F235EF7934EE1AF057E1FE9AB3350C0712A46AA23F;2;Films;2;-
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;2;Films;4;0
I316785;0001BDAD11490DEA53791D77A9DD35BBD6DDA9EC2E01D78617538C4CBBFE4521;2;Films;1;-
a;3C604A43A349CDC4130E5F83A8625EE6C83A2283F66A05BD44300AE9E67250DE;3;Films;7;0, 2, 4, 6
I050582;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;3;Films;8;0-5, 7
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;3;Films;5;0-2, 4
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;3;Films;1;-
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;Films;14;0-1, 5-8, 10, 12-13
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;3;Films;5;0-2
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;3;Films;2;0-1
I072507;F043B57DC27CD5351F4A04F235EF7934EE1AF057E1FE9AB3350C0712A46AA23F;3;Films;1;-
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;Films;11;0,2,6,8-9
I316785;0001BDAD11490DEA53791D77A9DD35BBD6DDA9EC2E01D78617538C4CBBFE4521;3;Films;2;0
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;6;Sales;1;-
a;3C604A43A349CDC4130E5F83A8625EE6C83A2283F66A05BD44300AE9E67250DE;6;Sales;4;0-3
I050582;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;6;Sales;3;1-2
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;6;Sales;2;0
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;6;Sales;5;0-1, 3
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;6;Sales;5;0-3
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;6;Sales;5;1-4
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;6;Sales;4;0-2
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;Sales;11;1, 4, 6-7, 9-10
I316785;0001BDAD11490DEA53791D77A9DD35BBD6DDA9EC2E01D78617538C4CBBFE4521;6;Sales;2;-
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;7;Sales;3;0
a;3C604A43A349CDC4130E5F83A8625EE6C83A2283F66A05BD44300AE9E67250DE;7;Sales;2;1
I050582;9E660CDDDD20A34952D94F30C37A47CC7CAA6D82FDC1E2C23E4317D98C53AFFD;7;Sales;2;0
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;7;Sales;4;1-3
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;7;Sales;3;0
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;7;Sales;9;0-3, 6
I051892;05F964991B84D6A73AB5C73DA9CB1A97C34CB84348A55BE18FEB6A11A66B8BC9;7;Sales;5;0, 2
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;7;Sales;7;0, 2, 4, 6
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;7;Sales;8;0, 3-6
I316785;0001BDAD11490DEA53791D77A9DD35BBD6DDA9EC2E01D78617538C4CBBFE4521;7;Sales;8;0, 5, 7
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;Sales;11;0, 2-4, 6-10
I050582;6E57DFAF22DEAFFF71E05042468DF4345BE90E1A1E8635B70473AD397FDA2463;8;Sales;5;0
I050648;B34FE261C41F1CECA723A22B5D5BB74C4AC140931465D2DA8F3A7033ABC96D46;8;Sales;4;0-1
I051069;687ECC64E4980354EB0247A82F3E2C895961472A05E14D1ACBD44B5029F9DAA2;8;Sales;6;0-1
I051430;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;8;Sales;4;0-1
I051911;547BFC0A9BECA12855B0C21A1D028732A75106E4BFAC87C9590A6616878B5C90;8;Sales;1;-
I301280;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;8;Sales;8;0, 3, 6-7
I316785;04783A9FA13A5107A707975156C09CDD483F122F3A844AA3AC925CB6EC0BD0B7;8;Sales;4;0, 3
a;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;9;Airports;4;0-3
