rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
362;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 1990];[];[];147
363;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010];[];[];138
364;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010, Passengers 1990];[Main airport];[];41
365;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[];[Main airport];[];55
366;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[];[Main airport];[];55
367;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010];[Main airport, Country];[];34
368;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010];[Main airport, City];[];34
369;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010, Population];[Main airport, City];[];32
373;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010];[Main airport];[];45
374;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010];[Main airport];[];45
377;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Passengers 2010];[Main airport, Region];[];27
378;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Nb Destinations];[Main airport];[];49
379;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;9;I051430;Airports;[Nb Destinations, Passengers 2010];[City];[];56
