rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
21;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];49
22;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Media, Genre];[Country=>[EQUAL Iceland]];49
137;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Retailer];[Country=>[EQUAL Iceland]];49
138;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Retailer];[Country=>[EQUAL Iceland]];49
139;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Retailer];[Country=>[EQUAL Iceland]];49
140;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Retailer];[Country=>[EQUAL Iceland]];49
418;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Genre];[Country=>[EQUAL Iceland]];59
420;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Genre];[Country=>[EQUAL Iceland]];59
511;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[];[Country=>[EQUAL Iceland]];98
513;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Media];[Country=>[EQUAL Iceland]];69
514;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;3;I301280;Films;[Sales Revenue];[Media];[Country=>[EQUAL Iceland]];69
