rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
17;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Inventory];[Country];[Year=>[EQUAL 2015]];58
189;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Inventory];[Country];[Year=>[EQUAL 2015]];58
470;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Inventory];[Product];[Country=>[EQUAL Slovenia]];42
471;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Inventory];[Product];[Country=>[EQUAL San Marino]];18
472;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Inventory];[Product];[Country=>[EQUAL Colombia]];30
473;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Sales Revenue];[Retailer];[Product=>[EQUAL GEL-NIMBUS 17 NYC]];43
474;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Sales Revenue];[Retailer];[Product=>[EQUAL BOLIVAR CITY]];44
475;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Sales Revenue];[Retailer];[Product=>[EQUAL METARUN]];45
476;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Sales Revenue];[Retailer];[Product=>[EQUAL FAAS 600 S V2 PWRWARM]];43
477;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Sales Revenue];[Retailer];[Product=>[EQUAL Air Zoom Structure 19]];43
478;29AF06B372FD52129AAB65DA477E308EC73CF0D44087D05DA8D39C7BE425D30E;8;a;Sales;[Sales Revenue];[Retailer];[Product=>[EQUAL Air Zoom Elite 8]];47
