rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
16;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue];[];[Country=>[EQUAL European Union]];0
37;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue];[Country, Region];[];22
38;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue];[Country, Region];[];22
53;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Revenue];[];[Country=>[EQUAL Europe & Central Asia (all income levels)]];0
54;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Revenue];[Country, Region];[];21
55;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Revenue];[Country, Region];[];21
62;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Revenue];[Country];[Region=>[EQUAL Europe & Central Asia]];36
63;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue, Sales Revenue];[Country];[Region=>[EQUAL Europe & Central Asia]];27
64;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue];[Country];[Region=>[EQUAL Europe & Central Asia]];32
117;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[];96
118;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[];96
120;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[Region=>[EQUAL Europe & Central Asia]];90
121;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[Region=>[EQUAL Europe & Central Asia]];90
150;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue, Sales Revenue];[Country];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];29
151;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue, Sales Revenue];[Country];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];29
152;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];89
155;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];89
156;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];89
296;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Revenue];[Country];[];61
297;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[Sales Target Revenue, Sales Revenue];[Country, Genre];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];36
298;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country, Genre];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];61
299;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[Country, Genre];[Region=>[EQUAL Europe & Central Asia], Year=>[EQUAL 2015]];61
464;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;2;I051430;Films;[];[];[Region=>[EQUAL Europe & Central Asia]];0
