rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
313;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Genre, Retailer];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];0
320;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Genre];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];0
323;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Genre];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];0
324;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Genre];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];0
325;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Genre];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];0
326;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];1
327;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Genre];[Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];107
328;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Revenue];[Retailer];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];0
332;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Revenue, Sales Target Revenue];[];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];32
333;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Revenue, Sales Target Revenue];[];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];32
334;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Revenue, Sales Target Revenue];[Retailer];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];32
335;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Revenue, Sales Target Revenue];[Retailer];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];32
336;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Target Revenue];[Retailer];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];32
337;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[];[Retailer];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland], Year=>[EQUAL 2015]];32
338;191A7605B9120D77770122570D089290ACF1EB99189D0FA92C367ECD729684C9;3;I051430;Films;[Sales Revenue];[Retailer];[Genre=>[EQUAL Game], Country=>[EQUAL Iceland]];0
