rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
261;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country];[Year=>[EQUAL 2010]];51
263;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country];[Year=>[EQUAL 2010]];51
269;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[];[Country, Region];[Year=>[EQUAL 2010]];30
274;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country, Region];[Year=>[EQUAL 2010], Retailer=>[EQUAL Decathlon]];29
275;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country, Region];[Year=>[EQUAL 2010], Retailer=>[EQUAL Decathlon]];29
276;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country, Region];[Year=>[EQUAL 2010]];26
277;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country, Region];[Year=>[EQUAL 2010]];26
278;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country, Region];[Year=>[EQUAL 2010]];26
279;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[Country, Region, Month];[Year=>[EQUAL 2010], Retailer=>[EQUAL Decathlon]];24
515;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Sales Quantity];[];[];0
516;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;6;I301280;Sales;[Planned Qty Ordered, Inventory];[];[Year=>[EQUAL 2010]];147
