rowid;session;analysis;userId;cube;Measures;GroupBy;Filters;nbCells
50;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[Passengers 1990, Passengers 2010];[Main airport];[];41
314;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[Passengers 1990];[Country];[Main airport=>[EQUAL Basco Airport], Year=>[EQUAL [1990, 2010]]];2
315;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[Passengers 1990, Passengers 2010];[Country, Main airport];[];30
316;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[];[Main airport];[];55
317;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[];[Main airport, Region];[];30
318;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[];[Main airport];[];55
319;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[];[];[Main airport=>[EQUAL Miami Intl]];1
321;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[];[Region];[Main airport=>[EQUAL Miami Intl]];57
322;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[Population];[];[Region=>[EQUAL North America], Year=>[EQUAL 2010]];3
329;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[Population];[];[Region=>[EQUAL North America], Year=>[EQUAL 1990]];3
330;97AFC965ABF526B36B105A3821C9BD1C9F1390DB3D7B2B07D7C6A16AF3061CF2;9;I301280;Airports;[];[];[Main airport=>[EQUAL Miami Intl]];1
