querry_id,total_operators,distinct_operators,ascii_len,part_number
22635,104,9,808,27
70710,16,7,282,25
177084,184,7,825,26
92501,72,7,745,27
91896,30,5,462,26
125882,340,8,2428,32
65129,70,9,816,28
23961,12,5,1067,39
75167,14,5,290,24
108060,50,8,375,24
8095,14,6,246,24
1457,40,8,461,25
31351,12,5,294,25
271146,12,5,1067,39
269078,108,7,24487,74
134362,16,7,357,26
110153,36,7,496,25
135694,36,9,611,26
62091,48,8,2754,30
5812,14,5,274,24
133038,24,5,443,33
69731,12,5,257,25
68400,50,7,282,24
135212,60,9,620,26
100592,14,4,269,24
19473,24,8,537,25
112554,36,7,496,25
18144,20,5,402,25
74084,16,7,330,25
58601,24,6,1203,33
53152,38,7,406,33
272462,48,6,747,24
1225,24,7,416,25
29278,10,4,296,26
273312,60,7,472,24
102762,18,7,269,24
87149,16,6,340,24
802,14,5,210,24
132197,60,7,998,23
31107,66,10,347,24
43312,34,8,370,25
64055,72,8,373,25
179284,174,8,930,28
68898,16,6,310,24
68655,14,5,237,24
120172,60,8,987,28
60928,16,6,316,25
55581,12,5,1268,47
74098,14,5,459,27
82958,20,6,385,26
70729,16,7,226,24
135472,24,8,470,26
134384,16,7,357,26
125619,340,8,2428,32
33756,62,7,278,19
69753,168,8,464,25
86071,8,4,243,24
90574,38,9,311,24
66242,46,7,204,24
179030,224,6,1501,29
41364,14,5,284,25
114955,36,7,496,25
82706,22,6,428,27
1248,24,7,260,24
2578,54,7,1739,35
59951,34,8,228,24
29258,14,5,368,27
134152,8,3,226,24
100563,18,6,340,24
31326,30,7,237,24
65392,54,8,384,25
32899,36,7,878,26
20654,116,7,505,25
100381,18,4,340,24
66012,34,10,1159,30
43776,36,8,370,25
72932,30,8,857,30
70750,16,7,284,25
134553,16,6,260,24
93877,100,10,341,25
92786,16,6,227,24
103410,56,7,443,25
29229,50,6,816,27
134318,16,7,241,24
265746,54,7,1644,34
173915,64,7,481,25
272030,42,7,381,24
106919,12,5,257,25
58634,118,10,326,24
30221,126,9,993,26
125436,104,8,5378,32
5852,44,8,365,25
27281,46,7,812,27
837,14,5,210,24
70505,12,5,232,24
132381,52,8,1018,22
92532,76,8,828,27
87182,16,6,227,24
38175,32,8,494,20
132143,52,8,919,22
134563,16,6,260,24
19674,36,7,389,26
17496,12,5,241,25
102331,54,9,429,24
135419,24,8,470,26
267915,116,8,908,27
54287,8,3,582,33
58645,118,10,326,24
30694,36,7,347,25
104508,12,5,286,27
33961,34,6,351,19
83824,44,9,509,26
57795,56,5,267,24
59972,32,6,275,24
1267,14,5,210,24
3202,66,7,8271,34
82731,20,6,381,26
1023,24,7,261,24
94948,16,5,376,26
179206,56,6,1557,29
32638,24,7,704,26
71608,18,7,290,24
104743,66,7,1408,26
31304,12,5,237,24
64083,16,6,301,25
68683,64,8,318,24
69530,38,11,1165,30
68440,70,9,317,24
5868,14,5,278,25
33723,28,8,342,19
30458,396,9,1113,28
92564,72,7,745,27
68456,18,6,332,24
17464,10,5,237,25
66278,30,8,239,24
37075,16,7,2484,33
179484,66,8,1083,28
67122,42,9,405,24
134339,16,7,302,25
22816,162,11,822,27
68217,50,7,282,24
68699,20,7,333,24
70773,16,7,343,26
40488,16,5,414,26
39490,12,5,223,24
173937,74,7,674,26
62903,58,10,3900,33
84703,30,8,999,27
26177,18,6,352,24
29445,20,6,408,26
60972,36,8,430,25
271167,16,5,221,25
8900,16,6,235,24
134100,34,8,577,34
70526,16,6,302,25
19649,36,7,389,26
70545,12,5,232,24
38394,46,6,396,20
72964,28,7,857,30
180446,58,8,1172,29
8920,24,8,299,24
180689,98,9,1317,29
101463,14,5,257,25
43506,36,8,370,25
122382,112,8,285,19
2141,66,7,8271,34
21735,68,9,5131,34
42657,34,8,370,25
56480,42,6,265,24
128917,22,6,449,34
60743,16,6,316,25
59994,32,6,275,24
1045,14,5,210,24
133020,10,5,180,24
94969,16,5,417,27
5888,40,8,600,25
17479,10,5,180,24
106904,16,4,329,25
7825,24,8,234,24
73805,32,7,1023,30
178135,68,9,790,26
266633,208,8,635,27
60070,30,8,263,24
59080,38,11,1171,30
62494,70,11,1157,30
56809,72,7,340,24
64434,56,8,623,26
72059,124,7,292,24
74478,12,6,238,24
75567,38,8,1028,30
66616,48,9,334,24
74232,14,6,209,24
74230,36,7,209,24
73140,30,9,854,30
177917,116,8,419,25
875,30,8,245,24
126325,108,8,5306,32
77512,68,8,255,24
104536,12,5,257,25
6504,16,8,309,25
135051,32,7,461,26
84042,34,8,481,25
102119,54,9,429,24
65770,88,9,253,24
62263,40,9,1360,30
4341,90,9,2679,28
74008,22,7,699,27
105400,54,7,1742,35
64685,60,9,605,25
63596,14,5,637,29
4585,90,9,2769,28
104552,12,5,257,25
67710,24,10,944,30
22001,68,9,5131,34
31184,34,10,280,24
272065,12,5,317,24
86459,14,5,264,24
174633,58,8,651,26
173786,74,7,674,26
53313,38,7,406,33
887,14,5,210,24
60089,12,4,261,24
7843,14,5,263,24
45341,116,10,636,26
106965,12,5,239,24
6514,16,8,320,25
86210,8,4,243,24
63361,22,7,3682,32
75108,44,8,1028,30
102582,54,9,429,24
26819,28,7,282,24
66632,34,8,317,24
65547,58,9,664,29
74498,18,5,286,24
130611,18,6,488,21
